Date,Price,Open,High,Low,Vol.,Change %,,459.25%,-398.54%,,,,,
3/22/2024,170.83,166.69,171.2,166.3,74.98M,-1.15%,4.72%,0.00%,-1.15%,,,,,4.72%
3/21/2024,172.82,176.39,178.18,171.8,73.18M,-1.62%,4.69%,0.00%,-1.62%,,,,,4.69%
3/20/2024,175.66,173,176.25,170.82,82.81M,2.53%,4.58%,2.53%,0.00%,,,,,4.58%
3/19/2024,171.32,172.36,172.82,167.42,76.85M,-1.43%,4.51%,0.00%,-1.43%,,,,,4.51%
3/18/2024,173.8,170.02,174.72,165.9,107.20M,6.25%,4.41%,6.25%,0.00%,,,,,4.41%
3/15/2024,163.57,163.16,165.18,160.76,96.62M,0.66%,4.22%,0.66%,0.00%,,,,,4.22%
3/14/2024,162.5,167.77,171.17,160.51,125.50M,-4.12%,4.20%,0.00%,-4.12%,,,,,4.20%
3/13/2024,169.48,173.05,176.05,169.15,104.72M,-4.54%,4.19%,0.00%,-4.54%,,,,,4.19%
3/12/2024,177.54,177.77,179.43,172.41,87.01M,-0.13%,4.19%,0.00%,-0.13%,,,,,4.19%
3/11/2024,177.77,175.45,182.87,174.8,85.39M,1.39%,4.14%,1.39%,0.00%,,,,,4.14%
3/8/2024,175.34,181.5,182.73,174.7,85.55M,-1.85%,4.06%,0.00%,-1.85%,,,,,4.06%
3/7/2024,178.65,174.35,180.04,173.7,101.54M,1.20%,3.94%,1.20%,0.00%,,,,,3.94%
3/6/2024,176.54,179.99,181.58,173.7,106.63M,-2.32%,3.87%,0.00%,-2.32%,,,,,3.87%
3/5/2024,180.74,183.05,184.59,177.57,118.45M,-3.93%,3.80%,0.00%,-3.93%,,,,,3.80%
3/4/2024,188.14,198.73,199.75,186.72,133.23M,-7.16%,3.78%,0.00%,-7.16%,,,,,3.78%
3/1/2024,202.64,200.52,204.52,198.5,82.24M,0.38%,3.72%,0.38%,0.00%,,,,,3.72%
2/29/2024,201.88,204.18,205.28,198.45,85.22M,-0.08%,3.68%,0.00%,-0.08%,,,,,3.68%
2/28/2024,202.04,200.42,205.3,198.44,99.09M,1.16%,3.61%,1.16%,0.00%,,,,,3.61%
2/27/2024,199.73,204.04,205.6,198.26,108.27M,0.17%,3.55%,0.17%,0.00%,,,,,3.55%
2/26/2024,199.4,192.29,201.78,192,111.30M,3.87%,3.48%,3.87%,0.00%,,,,,3.48%
2/23/2024,191.97,195.31,197.57,191.5,78.84M,-2.76%,3.20%,0.00%,-2.76%,,,,,3.20%
2/22/2024,197.41,194,198.32,191.36,92.18M,1.36%,3.11%,1.36%,0.00%,,,,,3.11%
2/21/2024,194.77,193.36,199.44,191.95,102.40M,0.52%,3.10%,0.52%,0.00%,,,,,3.10%
2/20/2024,193.76,196.13,198.6,189.13,103.90M,-3.10%,3.00%,0.00%,-3.10%,,,,,3.00%
2/16/2024,199.95,202.06,203.17,197.4,111.35M,-0.25%,2.98%,0.00%,-0.25%,,,,,2.98%
2/15/2024,200.45,189.16,200.88,188.86,119.40M,6.22%,2.97%,6.22%,0.00%,,,,,2.97%
2/14/2024,188.71,185.3,188.89,183.35,79.79M,2.55%,2.92%,2.55%,0.00%,,,,,2.92%
2/13/2024,184.02,183.99,187.26,182.11,86.42M,-2.18%,2.57%,0.00%,-2.18%,,,,,2.57%
2/12/2024,188.13,192.11,194.73,187.28,95.00M,-2.81%,2.55%,0.00%,-2.81%,,,,,2.55%
2/9/2024,193.57,190.18,194.12,189.48,84.48M,2.12%,2.53%,2.12%,0.00%,,,,,2.53%
2/8/2024,189.56,189,191.62,185.58,82.78M,1.06%,2.52%,1.06%,0.00%,,,,,2.52%
2/7/2024,187.58,188.18,189.79,182.68,111.14M,1.34%,2.48%,1.34%,0.00%,,,,,2.48%
2/6/2024,185.1,177.21,186.49,177.11,122.68M,2.23%,2.47%,2.23%,0.00%,,,,,2.47%
2/5/2024,181.06,184.26,184.68,175.01,133.55M,-3.65%,2.44%,0.00%,-3.65%,,,,,2.44%
